[2024-10-02T22:21:48.282+0300] {triggerer_job_runner.py:181} INFO - Setting up TriggererHandlerWrapper with handler <FileTaskHandler (NOTSET)>
[2024-10-02T22:21:48.284+0300] {triggerer_job_runner.py:237} INFO - Setting up logging queue listener with handlers [<RedirectStdHandler <stdout> (NOTSET)>, <NonCachingFileHandler /home/hamsterhom220/MLOps/Assign1/services/airflow/logs/triggerer.log (NOTSET)>, <TriggererHandlerWrapper (NOTSET)>]
[2024-10-02T22:21:48.294+0300] {triggerer_job_runner.py:338} INFO - Starting the triggerer
[2024-10-02T23:40:52.446+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:41:52.497+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:42:52.551+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:43:52.604+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:44:52.655+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:45:52.711+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:46:52.763+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:47:52.810+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:48:52.857+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:49:52.908+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:50:52.959+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:51:53.007+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:52:53.062+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:53:53.104+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:54:53.145+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:55:53.183+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:56:53.229+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:57:53.270+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:58:53.310+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:59:53.353+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:00:53.395+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:01:53.440+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:02:53.474+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:03:53.524+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:04:53.567+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:05:53.608+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:06:53.653+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:07:53.705+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:08:53.756+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:09:53.808+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:10:53.857+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:11:53.906+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:12:53.959+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:13:54.013+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:14:54.065+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
